"code2","emoji","unicode"
AD,🇦🇩,U+1F1E6 U+1F1E9
AE,🇦🇪,U+1F1E6 U+1F1EA
AF,🇦🇫,U+1F1E6 U+1F1EB
AG,🇦🇬,U+1F1E6 U+1F1EC
AI,🇦🇮,U+1F1E6 U+1F1EE
AL,🇦🇱,U+1F1E6 U+1F1F1
AM,🇦🇲,U+1F1E6 U+1F1F2
AO,🇦🇴,U+1F1E6 U+1F1F4
AQ,🇦🇶,U+1F1E6 U+1F1F6
AR,🇦🇷,U+1F1E6 U+1F1F7
AS,🇦🇸,U+1F1E6 U+1F1F8
AT,🇦🇹,U+1F1E6 U+1F1F9
AU,🇦🇺,U+1F1E6 U+1F1FA
AW,🇦🇼,U+1F1E6 U+1F1FC
AX,🇦🇽,U+1F1E6 U+1F1FD
AZ,🇦🇿,U+1F1E6 U+1F1FF
BA,🇧🇦,U+1F1E7 U+1F1E6
BB,🇧🇧,U+1F1E7 U+1F1E7
BD,🇧🇩,U+1F1E7 U+1F1E9
BE,🇧🇪,U+1F1E7 U+1F1EA
BF,🇧🇫,U+1F1E7 U+1F1EB
BG,🇧🇬,U+1F1E7 U+1F1EC
BH,🇧🇭,U+1F1E7 U+1F1ED
BI,🇧🇮,U+1F1E7 U+1F1EE
BJ,🇧🇯,U+1F1E7 U+1F1EF
BL,🇧🇱,U+1F1E7 U+1F1F1
BM,🇧🇲,U+1F1E7 U+1F1F2
BN,🇧🇳,U+1F1E7 U+1F1F3
BO,🇧🇴,U+1F1E7 U+1F1F4
BQ,🇧🇶,U+1F1E7 U+1F1F6
BR,🇧🇷,U+1F1E7 U+1F1F7
BS,🇧🇸,U+1F1E7 U+1F1F8
BT,🇧🇹,U+1F1E7 U+1F1F9
BV,🇧🇻,U+1F1E7 U+1F1FB
BW,🇧🇼,U+1F1E7 U+1F1FC
BY,🇧🇾,U+1F1E7 U+1F1FE
BZ,🇧🇿,U+1F1E7 U+1F1FF
CA,🇨🇦,U+1F1E8 U+1F1E6
CC,🇨🇨,U+1F1E8 U+1F1E8
CD,🇨🇩,U+1F1E8 U+1F1E9
CF,🇨🇫,U+1F1E8 U+1F1EB
CG,🇨🇬,U+1F1E8 U+1F1EC
CH,🇨🇭,U+1F1E8 U+1F1ED
CI,🇨🇮,U+1F1E8 U+1F1EE
CK,🇨🇰,U+1F1E8 U+1F1F0
CL,🇨🇱,U+1F1E8 U+1F1F1
CM,🇨🇲,U+1F1E8 U+1F1F2
CN,🇨🇳,U+1F1E8 U+1F1F3
CO,🇨🇴,U+1F1E8 U+1F1F4
CR,🇨🇷,U+1F1E8 U+1F1F7
CU,🇨🇺,U+1F1E8 U+1F1FA
CV,🇨🇻,U+1F1E8 U+1F1FB
CW,🇨🇼,U+1F1E8 U+1F1FC
CX,🇨🇽,U+1F1E8 U+1F1FD
CY,🇨🇾,U+1F1E8 U+1F1FE
CZ,🇨🇿,U+1F1E8 U+1F1FF
DE,🇩🇪,U+1F1E9 U+1F1EA
DJ,🇩🇯,U+1F1E9 U+1F1EF
DK,🇩🇰,U+1F1E9 U+1F1F0
DM,🇩🇲,U+1F1E9 U+1F1F2
DO,🇩🇴,U+1F1E9 U+1F1F4
DZ,🇩🇿,U+1F1E9 U+1F1FF
EC,🇪🇨,U+1F1EA U+1F1E8
EE,🇪🇪,U+1F1EA U+1F1EA
EG,🇪🇬,U+1F1EA U+1F1EC
EH,🇪🇭,U+1F1EA U+1F1ED
ER,🇪🇷,U+1F1EA U+1F1F7
ES,🇪🇸,U+1F1EA U+1F1F8
ET,🇪🇹,U+1F1EA U+1F1F9
FI,🇫🇮,U+1F1EB U+1F1EE
FJ,🇫🇯,U+1F1EB U+1F1EF
FK,🇫🇰,U+1F1EB U+1F1F0
FM,🇫🇲,U+1F1EB U+1F1F2
FO,🇫🇴,U+1F1EB U+1F1F4
FR,🇫🇷,U+1F1EB U+1F1F7
GA,🇬🇦,U+1F1EC U+1F1E6
GB,🇬🇧,U+1F1EC U+1F1E7
GD,🇬🇩,U+1F1EC U+1F1E9
GE,🇬🇪,U+1F1EC U+1F1EA
GF,🇬🇫,U+1F1EC U+1F1EB
GG,🇬🇬,U+1F1EC U+1F1EC
GH,🇬🇭,U+1F1EC U+1F1ED
GI,🇬🇮,U+1F1EC U+1F1EE
GL,🇬🇱,U+1F1EC U+1F1F1
GM,🇬🇲,U+1F1EC U+1F1F2
GN,🇬🇳,U+1F1EC U+1F1F3
GP,🇬🇵,U+1F1EC U+1F1F5
GQ,🇬🇶,U+1F1EC U+1F1F6
GR,🇬🇷,U+1F1EC U+1F1F7
GS,🇬🇸,U+1F1EC U+1F1F8
GT,🇬🇹,U+1F1EC U+1F1F9
GU,🇬🇺,U+1F1EC U+1F1FA
GW,🇬🇼,U+1F1EC U+1F1FC
GY,🇬🇾,U+1F1EC U+1F1FE
HK,🇭🇰,U+1F1ED U+1F1F0
HM,🇭🇲,U+1F1ED U+1F1F2
HN,🇭🇳,U+1F1ED U+1F1F3
HR,🇭🇷,U+1F1ED U+1F1F7
HT,🇭🇹,U+1F1ED U+1F1F9
HU,🇭🇺,U+1F1ED U+1F1FA
ID,🇮🇩,U+1F1EE U+1F1E9
IE,🇮🇪,U+1F1EE U+1F1EA
IL,🇮🇱,U+1F1EE U+1F1F1
IM,🇮🇲,U+1F1EE U+1F1F2
IN,🇮🇳,U+1F1EE U+1F1F3
IO,🇮🇴,U+1F1EE U+1F1F4
IQ,🇮🇶,U+1F1EE U+1F1F6
IR,🇮🇷,U+1F1EE U+1F1F7
IS,🇮🇸,U+1F1EE U+1F1F8
IT,🇮🇹,U+1F1EE U+1F1F9
JE,🇯🇪,U+1F1EF U+1F1EA
JM,🇯🇲,U+1F1EF U+1F1F2
JO,🇯🇴,U+1F1EF U+1F1F4
JP,🇯🇵,U+1F1EF U+1F1F5
KE,🇰🇪,U+1F1F0 U+1F1EA
KG,🇰🇬,U+1F1F0 U+1F1EC
KH,🇰🇭,U+1F1F0 U+1F1ED
KI,🇰🇮,U+1F1F0 U+1F1EE
KM,🇰🇲,U+1F1F0 U+1F1F2
KN,🇰🇳,U+1F1F0 U+1F1F3
KP,🇰🇵,U+1F1F0 U+1F1F5
KR,🇰🇷,U+1F1F0 U+1F1F7
KW,🇰🇼,U+1F1F0 U+1F1FC
KY,🇰🇾,U+1F1F0 U+1F1FE
KZ,🇰🇿,U+1F1F0 U+1F1FF
LA,🇱🇦,U+1F1F1 U+1F1E6
LB,🇱🇧,U+1F1F1 U+1F1E7
LC,🇱🇨,U+1F1F1 U+1F1E8
LI,🇱🇮,U+1F1F1 U+1F1EE
LK,🇱🇰,U+1F1F1 U+1F1F0
LR,🇱🇷,U+1F1F1 U+1F1F7
LS,🇱🇸,U+1F1F1 U+1F1F8
LT,🇱🇹,U+1F1F1 U+1F1F9
LU,🇱🇺,U+1F1F1 U+1F1FA
LV,🇱🇻,U+1F1F1 U+1F1FB
LY,🇱🇾,U+1F1F1 U+1F1FE
MA,🇲🇦,U+1F1F2 U+1F1E6
MC,🇲🇨,U+1F1F2 U+1F1E8
MD,🇲🇩,U+1F1F2 U+1F1E9
ME,🇲🇪,U+1F1F2 U+1F1EA
MF,🇲🇫,U+1F1F2 U+1F1EB
MG,🇲🇬,U+1F1F2 U+1F1EC
MH,🇲🇭,U+1F1F2 U+1F1ED
MK,🇲🇰,U+1F1F2 U+1F1F0
ML,🇲🇱,U+1F1F2 U+1F1F1
MM,🇲🇲,U+1F1F2 U+1F1F2
MN,🇲🇳,U+1F1F2 U+1F1F3
MO,🇲🇴,U+1F1F2 U+1F1F4
MP,🇲🇵,U+1F1F2 U+1F1F5
MQ,🇲🇶,U+1F1F2 U+1F1F6
MR,🇲🇷,U+1F1F2 U+1F1F7
MS,🇲🇸,U+1F1F2 U+1F1F8
MT,🇲🇹,U+1F1F2 U+1F1F9
MU,🇲🇺,U+1F1F2 U+1F1FA
MV,🇲🇻,U+1F1F2 U+1F1FB
MW,🇲🇼,U+1F1F2 U+1F1FC
MX,🇲🇽,U+1F1F2 U+1F1FD
MY,🇲🇾,U+1F1F2 U+1F1FE
MZ,🇲🇿,U+1F1F2 U+1F1FF
NA,🇳🇦,U+1F1F3 U+1F1E6
NC,🇳🇨,U+1F1F3 U+1F1E8
NE,🇳🇪,U+1F1F3 U+1F1EA
NF,🇳🇫,U+1F1F3 U+1F1EB
NG,🇳🇬,U+1F1F3 U+1F1EC
NI,🇳🇮,U+1F1F3 U+1F1EE
NL,🇳🇱,U+1F1F3 U+1F1F1
NO,🇳🇴,U+1F1F3 U+1F1F4
NP,🇳🇵,U+1F1F3 U+1F1F5
NR,🇳🇷,U+1F1F3 U+1F1F7
NU,🇳🇺,U+1F1F3 U+1F1FA
NZ,🇳🇿,U+1F1F3 U+1F1FF
OM,🇴🇲,U+1F1F4 U+1F1F2
PA,🇵🇦,U+1F1F5 U+1F1E6
PE,🇵🇪,U+1F1F5 U+1F1EA
PF,🇵🇫,U+1F1F5 U+1F1EB
PG,🇵🇬,U+1F1F5 U+1F1EC
PH,🇵🇭,U+1F1F5 U+1F1ED
PK,🇵🇰,U+1F1F5 U+1F1F0
PL,🇵🇱,U+1F1F5 U+1F1F1
PM,🇵🇲,U+1F1F5 U+1F1F2
PN,🇵🇳,U+1F1F5 U+1F1F3
PR,🇵🇷,U+1F1F5 U+1F1F7
PS,🇵🇸,U+1F1F5 U+1F1F8
PT,🇵🇹,U+1F1F5 U+1F1F9
PW,🇵🇼,U+1F1F5 U+1F1FC
PY,🇵🇾,U+1F1F5 U+1F1FE
QA,🇶🇦,U+1F1F6 U+1F1E6
RE,🇷🇪,U+1F1F7 U+1F1EA
RO,🇷🇴,U+1F1F7 U+1F1F4
RS,🇷🇸,U+1F1F7 U+1F1F8
RU,🇷🇺,U+1F1F7 U+1F1FA
RW,🇷🇼,U+1F1F7 U+1F1FC
SA,🇸🇦,U+1F1F8 U+1F1E6
SB,🇸🇧,U+1F1F8 U+1F1E7
SC,🇸🇨,U+1F1F8 U+1F1E8
SD,🇸🇩,U+1F1F8 U+1F1E9
SE,🇸🇪,U+1F1F8 U+1F1EA
SG,🇸🇬,U+1F1F8 U+1F1EC
SH,🇸🇭,U+1F1F8 U+1F1ED
SI,🇸🇮,U+1F1F8 U+1F1EE
SJ,🇸🇯,U+1F1F8 U+1F1EF
SK,🇸🇰,U+1F1F8 U+1F1F0
SL,🇸🇱,U+1F1F8 U+1F1F1
SM,🇸🇲,U+1F1F8 U+1F1F2
SN,🇸🇳,U+1F1F8 U+1F1F3
SO,🇸🇴,U+1F1F8 U+1F1F4
SR,🇸🇷,U+1F1F8 U+1F1F7
SS,🇸🇸,U+1F1F8 U+1F1F8
ST,🇸🇹,U+1F1F8 U+1F1F9
SV,🇸🇻,U+1F1F8 U+1F1FB
SX,🇸🇽,U+1F1F8 U+1F1FD
SY,🇸🇾,U+1F1F8 U+1F1FE
SZ,🇸🇿,U+1F1F8 U+1F1FF
TC,🇹🇨,U+1F1F9 U+1F1E8
TD,🇹🇩,U+1F1F9 U+1F1E9
TF,🇹🇫,U+1F1F9 U+1F1EB
TG,🇹🇬,U+1F1F9 U+1F1EC
TH,🇹🇭,U+1F1F9 U+1F1ED
TJ,🇹🇯,U+1F1F9 U+1F1EF
TK,🇹🇰,U+1F1F9 U+1F1F0
TL,🇹🇱,U+1F1F9 U+1F1F1
TM,🇹🇲,U+1F1F9 U+1F1F2
TN,🇹🇳,U+1F1F9 U+1F1F3
TO,🇹🇴,U+1F1F9 U+1F1F4
TR,🇹🇷,U+1F1F9 U+1F1F7
TT,🇹🇹,U+1F1F9 U+1F1F9
TV,🇹🇻,U+1F1F9 U+1F1FB
TW,🇹🇼,U+1F1F9 U+1F1FC
TZ,🇹🇿,U+1F1F9 U+1F1FF
UA,🇺🇦,U+1F1FA U+1F1E6
UG,🇺🇬,U+1F1FA U+1F1EC
UM,🇺🇲,U+1F1FA U+1F1F2
US,🇺🇸,U+1F1FA U+1F1F8
UY,🇺🇾,U+1F1FA U+1F1FE
UZ,🇺🇿,U+1F1FA U+1F1FF
VA,🇻🇦,U+1F1FB U+1F1E6
VC,🇻🇨,U+1F1FB U+1F1E8
VE,🇻🇪,U+1F1FB U+1F1EA
VG,🇻🇬,U+1F1FB U+1F1EC
VI,🇻🇮,U+1F1FB U+1F1EE
VN,🇻🇳,U+1F1FB U+1F1F3
VU,🇻🇺,U+1F1FB U+1F1FA
WF,🇼🇫,U+1F1FC U+1F1EB
WS,🇼🇸,U+1F1FC U+1F1F8
YE,🇾🇪,U+1F1FE U+1F1EA
YT,🇾🇹,U+1F1FE U+1F1F9
ZA,🇿🇦,U+1F1FF U+1F1E6
ZM,🇿🇲,U+1F1FF U+1F1F2
ZW,🇿🇼,U+1F1FF U+1F1FC
